Pressure [Pa],LAXGOH03_clean_isotherms(Actual), LAXGOH03_clean_isotherms(RL),MAGVOG07_clean_isotherms(Actual), MAGVOG07_clean_isotherms(RL),MIMVEJ_clean_isotherms(Actual), MIMVEJ_clean_isotherms(RL),MISQIQ07_clean_isotherms(Actual), MISQIQ07_clean_isotherms(RL),PELNEA01_clean_isotherms(Actual), PELNEA01_clean_isotherms(RL),TOFLAD_clean_isotherms(Actual), TOFLAD_clean_isotherms(RL),UJOKIP04_clean_isotherms(Actual), UJOKIP04_clean_isotherms(RL),VEJYUF01_clean_isotherms(Actual), VEJYUF01_clean_isotherms(RL)
1,1E-04,1E-04,1E-04,1E-04,0.004603789,0.004603789,0.078249245,0.078249245,0.0001,0.0001,0.000532325,0.000532325,0.0001,0.0001,0.000921407,0.000921407
2,4.7847E-06,0.000134627,2.085E-06,0.000118335,0.010115971,0.010111393,0.164476779,0.165557699,0.0001,8.40585E-05,0.00115566,0.001139952,0.0001,0.000120164,0.001774237,0.001754496
3,0.000159884,0.000159884,1E-04,0.000139831,0.015588103,0.015638445,0.254325902,0.254325903,7.79071E-05,7.83361E-05,0.001803432,0.001794203,0.0001,0.000115944,0.002647669,0.002629069
4,0.00018772,0.000174168,1E-04,0.000159161,0.021068588,0.021129161,0.343400407,0.343162358,1.06116E-05,7.44252E-05,0.002478544,0.002471849,0.0001,0.00010501,0.003533356,0.003525652
5,5.55077E-05,0.000180908,1E-04,0.000176334,0.026539341,0.026580702,0.431670589,0.431670582,1.60257E-06,7.11562E-05,0.003169424,0.003161732,0.0001,0.0001,0.004435019,0.004435023
6,1.7021E-05,0.000182967,1E-04,0.000191754,0.03198201,0.031998851,0.519465153,0.519732705,1.04739E-06,6.82501E-05,0.003864538,0.003857844,0.0001,0.000103831,0.005352097,0.005352091
7,7.89357E-06,0.000182239,1E-04,0.000205754,0.037390109,0.037390111,0.6069319,0.60732502,3.2758E-06,6.56111E-05,0.004556733,0.004556733,1E-04,0.000110309,0.006281354,0.006273817
8,5.3817E-06,0.000179907,1E-04,0.000218571,0.042765387,0.042760107,0.694078047,0.694457635,2.04273E-05,6.31931E-05,0.005242803,0.005256344,1E-04,0.00011593,0.007218868,0.007198296
9,4.7847E-06,0.000176697,1E-04,0.000230369,0.048113399,0.04811339,0.780853603,0.78115207,1E-04,6.0967E-05,0.00592211,0.005955425,1E-04,0.000120144,0.008161045,0.008124295
10,4.92985E-06,0.00017347,1E-04,0.000240096,0.052849597,0.052860768,0.857630393,0.857865417,0.000230589,5.91316E-05,0.006520854,0.006575762,1E-04,0.000122871,0.009000107,0.008948012
