Pressure,QITMOW_clean_isotherms(Actual), QITMOW_clean_isotherms(RL),LAXGOH03_clean_isotherms(Actual), LAXGOH03_clean_isotherms(RL),MOCJEU_clean_isotherms(Actual), MOCJEU_clean_isotherms(RL),UJOJEK01_clean_isotherms(Actual), UJOJEK01_clean_isotherms(RL),MIMVEJ_clean_isotherms(Actual), MIMVEJ_clean_isotherms(RL),QUXRUY_clean_isotherms(Actual), QUXRUY_clean_isotherms(RL),KAXQIL_clean_isotherms(Actual), KAXQIL_clean_isotherms(RL),VOKJIQ_clean_isotherms(Actual), VOKJIQ_clean_isotherms(RL)
1,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,0.0001,0.0001,0.004603789,0.004603789,0.005887942,0.005887942,0.005269586,0.005269587,0.079386201,0.079386204
2.125,2.9677E-06,0.000257687,4.7847E-06,0.000264885,3.0062E-06,3.0062E-06,1E-04,0.000101816,0.010115971,0.010130332,0.01260287,0.012384992,0.011218795,0.011218792,0.169459444,0.169459425
3.25,0.000176585,0.000176585,0.000159884,0.000159884,1E-04,1.19335E-05,1E-04,0.000104719,0.015588103,0.015697889,0.01896357,0.018856912,0.017069972,0.017062602,0.257015494,0.258927015
4.375,0.000209901,7.40919E-05,0.00018772,6.47737E-05,1E-04,5.53054E-05,1.0223E-05,0.000104227,0.021068588,0.021203057,0.025291216,0.025291213,0.022858741,0.022876587,0.345617397,0.348056795
5.5,5.12595E-05,3.00128E-05,5.55077E-05,2.72097E-05,1E-04,1E-04,0.0001,0.000102341,0.026539341,0.02664421,0.031669378,0.031697947,0.028664992,0.028691462,0.435493675,0.437033057
6.625,1.39982E-05,1.37746E-05,1.7021E-05,1.34153E-05,1E-04,0.000105637,1E-04,1E-04,0.03198201,0.03203528,0.038070661,0.038086495,0.034518924,0.034518934,0.525915848,0.525915932
7.75,6.00912E-06,7.43336E-06,7.89357E-06,7.87059E-06,1E-04,0.0001,1E-04,9.76289E-05,0.037390109,0.037390107,0.044464885,0.044463622,0.040422214,0.040362827,0.616255491,0.614711366
8.875,3.74184E-06,4.67784E-06,5.3817E-06,5.3817E-06,1E-04,9.86826E-05,1E-04,9.54378E-05,0.042765387,0.042719723,0.050840571,0.050833956,0.046365152,0.046223556,0.70616025,0.703405406
10,2.9677E-06,3.35702E-06,4.7847E-06,4.16907E-06,3.0062E-06,0.000100142,5.1115E-06,9.35447E-05,0.048113399,0.048032375,0.057200615,0.05720062,0.052335201,0.052100054,0.795495924,0.791978818
11,2.73641E-06,2.73641E-06,4.92985E-06,3.61051E-06,1E-04,1E-04,5.1115E-06,9.2172E-05,0.052849597,0.052745401,0.062848552,0.0628585,0.057655197,0.057335508,0.874423378,0.870594354
22.125,7.69577E-06,3.4519E-06,1.68789E-05,6.17712E-06,1E-04,1.86835E-05,1E-04,1E-04,0.105265826,0.105108777,0.126560515,0.125860385,0.116567828,0.115994632,1.73573554,1.735735034
33.25,2.04052E-05,9.67698E-06,2.95992E-05,1.80446E-05,3.0062E-06,4.36722E-06,1E-04,0.000128677,0.157782137,0.157663105,0.190838265,0.188975811,0.174761581,0.174761538,2.582655865,2.582656407
44.375,2.96198E-05,2.01146E-05,4.43957E-05,3.7345E-05,3.0062E-06,3.0062E-06,1E-04,0.000128356,0.210275404,0.210275483,0.253941985,0.25207366,0.232887955,0.233267726,3.412897158,3.413296586
55.5,3.54709E-05,3.17891E-05,6.0836E-05,5.84578E-05,9.0185E-06,3.8995E-06,1.53345E-05,8.84581E-05,0.262713856,0.262796946,0.31622603,0.315061152,0.291064701,0.291444482,4.226588521,4.229407812
66.625,4.22419E-05,4.22419E-05,7.69452E-05,7.69452E-05,6.0124E-06,6.0124E-06,1E-04,4.53773E-05,0.315156477,0.315156343,0.378345972,0.377890666,0.349143394,0.349308094,5.027107226,5.031912477
77.75,5.07221E-05,5.07221E-05,9.14431E-05,9.14431E-05,6.0124E-06,8.95627E-06,2.0446E-05,2.0446E-05,0.367646867,0.367331375,0.440600884,0.440540331,0.406971014,0.406896115,5.817175506,5.821194004
88.875,5.98707E-05,5.74864E-05,0.000103988,0.000102398,3.0062E-06,1.23174E-05,1.0223E-05,9.53848E-06,0.420193804,0.419324994,0.503001987,0.503001966,0.46445842,0.46424754,6.597979173,6.597350111
100,6.8256E-05,6.30567E-05,0.000114833,0.000110781,9.0185E-06,1.5777E-05,5.1115E-06,5.1115E-06,0.472780869,0.471151941,0.565432037,0.565274505,0.521577768,0.521396846,7.369495298,7.360346367
