Pressure [Pa],AWASAU_clean_isotherms(Actual), AWASAU_clean_isotherms(RL),CIQYUX_clean_isotherms(Actual), CIQYUX_clean_isotherms(RL),DIVNIH_clean_isotherms(Actual), DIVNIH_clean_isotherms(RL),EWUSOF_clean_isotherms(Actual), EWUSOF_clean_isotherms(RL),FURRIU_clean_isotherms(Actual), FURRIU_clean_isotherms(RL),LABJUV_clean_isotherms(Actual), LABJUV_clean_isotherms(RL),QISNIR_clean_isotherms(Actual), QISNIR_clean_isotherms(RL),SACDUX_clean_isotherms(Actual), SACDUX_clean_isotherms(RL)
1,70.68787101,70.68787101,0.0001,0.0001,31.9316081,31.9316081,0.000191745,0.000191745,0.000142118,0.000142118,83.71539897,83.71539897,40.11473702,40.11473702,84.99225154,84.99225154
2,70.62384202,70.31047828,9.32873E-05,8.18476E-05,32.36950268,33.96806127,0.000342727,0.000372939,0.000250782,0.000291201,83.7100397,83.54924381,40.16099742,40.09918275,84.9859215,84.31116978
3,70.81119561,70.36915123,0.000101511,8.28055E-05,33.59356387,35.17961521,0.000716138,0.00073367,0.000386848,0.000454,83.7172354,83.59252703,40.13416915,40.12470924,84.99486683,84.25972895
4,70.86292458,70.50611585,0.000102966,8.84885E-05,34.52853007,35.59296506,0.001116542,0.001116542,0.000541618,0.000626962,83.71736048,83.65987182,40.14458093,40.144581,84.99521935,84.32278154
5,70.86319224,70.64881605,9.62055E-05,9.62055E-05,35.05448477,35.60411453,0.001409513,0.001409513,0.000725302,0.000808953,83.71754573,83.71754573,40.1637207,40.15895259,84.99489234,84.4084962
6,70.87673675,70.77921371,8.53304E-05,0.00010506,35.27952336,35.47231446,0.001603681,0.001608191,0.000944195,0.000999328,83.71844991,83.76007462,40.1778279,40.16999216,84.99543309,84.49324976
7,70.92183555,70.89386561,7.42469E-05,0.000114655,35.33282616,35.33282612,0.001753318,0.001753318,0.001197549,0.001197549,83.71953562,83.78877418,40.18501562,40.17919536,84.99670927,84.57049272
8,70.99365092,70.99365112,6.50195E-05,0.000124781,35.31169064,35.24457567,0.001898936,0.001882233,0.001478551,0.001403094,83.72045397,83.80640595,40.18745928,40.18745916,84.9983766,84.63886234
9,71.08061361,71.08061339,5.82944E-05,0.000135311,35.27754137,35.22522654,0.00206126,0.002018085,0.001776476,0.001615444,83.7211195,83.81568432,40.18786756,40.19530633,85.0001751,84.69868609
10,71.16174608,71.14890118,5.43914E-05,0.000144943,35.26405668,35.26405673,0.002226352,0.002154683,0.002045746,0.001809496,83.72153798,83.8187742,40.18824203,40.20217845,85.00175537,84.74536815
20,71.66217167,71.62779112,0.000112531,0.000261552,36.56026261,36.90280508,0.004992083,0.004992083,0.004207137,0.004207137,83.72676587,83.76145439,40.28589163,40.28722972,85.01277084,85.01277084
30,71.96555456,71.96555457,0.000313098,0.000385464,37.46168473,37.5348754,0.007769153,0.008978,0.005904165,0.006808008,83.73575277,83.73575266,40.42917743,40.38530586,85.02014254,85.08089547
40,72.45131889,72.29799477,0.000442406,0.000511035,37.35199157,37.35199142,0.010178782,0.012462634,0.008387671,0.009411225,83.74589036,83.74589054,40.53305098,40.48676863,85.03033695,85.08904535
50,72.96709782,72.63713546,0.000481298,0.000636134,37.15840119,37.15840136,0.012521071,0.015118427,0.011387967,0.01192983,83.75673232,83.76257501,40.61572288,40.58785683,85.04169428,85.0771835
60,73.41413708,72.97870448,0.000519893,0.000759775,37.23353978,37.21369452,0.014902715,0.01719397,0.014334314,0.014334313,83.76682389,83.77315041,40.69657545,40.68754706,85.0515663,85.05948991
70,73.77642243,73.31774265,0.000588681,0.000881473,37.56689078,37.51995489,0.017328161,0.018964005,0.016856589,0.016622094,83.77476884,83.77476874,40.78357585,40.78574341,85.05849802,85.04156491
80,74.07105066,73.65073518,0.000689268,0.001000987,38.05959071,38.0117154,0.019779801,0.020611598,0.018870506,0.018802312,83.77988669,83.76854289,40.87801105,40.88263927,85.06218924,85.02567586
90,74.32082702,73.97550623,0.000816122,0.001118208,38.62220426,38.62220423,0.022242428,0.022242428,0.020464999,0.020888451,83.78216195,83.75675454,40.97849299,40.97849319,85.06303378,85.01266808
100,74.52278242,74.25939604,0.000946597,0.001221589,39.13714164,39.22920266,0.024458004,0.023741932,0.021657228,0.022695186,83.78210486,83.74331873,41.07227766,41.06396872,85.06194211,85.0036122
200,76.66158235,76.89026727,0.002376008,0.002254731,42.78644711,45.63187272,0.049090779,0.044800223,0.035536142,0.04074078,83.75804978,83.65336667,42.09694724,42.00160799,85.05539567,85.02876712
300,78.69956238,78.77926662,0.003210068,0.003121274,44.67609436,49.81333501,0.073960802,0.071276449,0.058787144,0.058787145,83.81864513,83.75454716,43.00455758,42.94550161,85.15908338,85.15908338
400,80.28455379,80.20666236,0.003881315,0.003881315,46.64832442,52.68587654,0.098860243,0.098860243,0.08744513,0.078883035,83.93296252,83.9111166,43.89724812,43.89724759,85.31283994,85.31093014
500,81.45767662,81.33245796,0.004576605,0.004576605,48.80311638,54.85377905,0.123635822,0.125387052,0.117211593,0.101658414,84.04875232,84.04875251,44.81181318,44.84971736,85.45913948,85.45913949
600,82.33573592,82.24894778,0.005326743,0.005235022,50.98702664,56.59546406,0.148305892,0.15011166,0.145948301,0.127369408,84.14380366,84.15024935,45.74589453,45.79744552,85.57809904,85.59661879
700,83.01317767,83.01317767,0.006124603,0.005875235,53.08104426,58.05311581,0.172940036,0.172940036,0.173052235,0.156138156,84.21374203,84.2190693,46.6890728,46.73695393,85.66857342,85.72225313
800,83.55460298,83.66256853,0.006956771,0.00650988,55.02175894,59.3075005,0.197600878,0.194025941,0.198638951,0.188024745,84.26168044,84.26384645,47.63185615,47.66615034,85.73613309,85.836946
900,84.00244441,84.22285915,0.007811452,0.007147605,56.7847243,60.40857241,0.222328409,0.213592397,0.223054268,0.223054264,84.29303496,84.29303369,48.56737582,48.58383422,85.78772404,85.94219663
1000,84.34824275,84.66572232,0.008591676,0.00772843,58.21603547,61.29491892,0.244627556,0.230066636,0.244299056,0.257226058,84.31159988,84.31160099,49.398362,49.39836218,85.8256817,86.03003681
2000,86.76539189,87.58489728,0.017406383,0.015141614,67.34517654,67.62411453,0.494670396,0.372470298,0.474587552,0.801641117,84.53513457,84.60571313,57.80594205,57.80503969,86.33424878,86.80349411
