Pressure,PENZUE_clean_isotherms(Actual), PENZUE_clean_isotherms(RL),QIYDIN_clean_isotherms(Actual), QIYDIN_clean_isotherms(RL),QOZFUG_charged_isotherms(Actual), QOZFUG_charged_isotherms(RL),CAVPEW_manual_isotherms(Actual), CAVPEW_manual_isotherms(RL),DUBJUH_clean_isotherms(Actual), DUBJUH_clean_isotherms(RL),WICGEV_clean_isotherms(Actual), WICGEV_clean_isotherms(RL),GONNAA_clean_isotherms(Actual), GONNAA_clean_isotherms(RL),BEWWEH_clean_isotherms(Actual), BEWWEH_clean_isotherms(RL)
1,3.18281E-05,3.18281E-05,0.000464797,0.000464797,0.000478393,0.000478393,1E-04,0.0001,0.003540238,0.003540238,0.000501044,0.000501044,0.000678025,0.000678025,4.72003E-05,4.72003E-05
2.125,9.3163E-05,0.000126521,0.001330104,0.001330104,0.000885778,0.000922961,0.000397234,0.000495196,0.005973894,0.006793856,0.000754045,0.000861828,0.001321437,0.001321437,0.000333178,0.000333178
3.25,0.00017514,0.00019782,0.001683113,0.001663857,0.001279084,0.001367243,0.001037921,0.001037921,0.010580998,0.010377381,0.001219001,0.00126524,0.001907711,0.001975852,0.000492674,0.000498344
4.375,0.000217212,0.000217212,0.001930611,0.001913876,0.001648481,0.001811531,0.001801529,0.00155667,0.01546298,0.014127908,0.001708914,0.001693476,0.002567638,0.002639741,0.000544513,0.000547897
5.5,0.000222267,0.000215783,0.002233647,0.00222541,0.00205172,0.00225888,0.002454299,0.002004074,0.019789861,0.017967408,0.002169238,0.002137987,0.003312932,0.003312932,0.000586134,0.000587276
6.625,0.000215829,0.000212028,0.002577866,0.002575675,0.002517923,0.002711516,0.002930221,0.002387821,0.023547023,0.021853147,0.002609076,0.002593486,0.004111114,0.003995142,0.000642233,0.000642448
7.75,0.000211759,0.000211759,0.002920823,0.002920825,0.00305049,0.003170742,0.003264178,0.002727115,0.026971237,0.025760372,0.003048837,0.003056435,0.004926447,0.004685931,0.000714728,0.000714728
8.875,0.000214032,0.000216029,0.003229089,0.003229085,0.003637204,0.003637204,0.003511301,0.003039034,0.030274016,0.029674322,0.003501777,0.003524372,0.005733575,0.005384777,0.000800754,0.000800754
10,0.000222797,0.000224568,0.00348598,0.003485982,0.004257702,0.004111116,0.003715593,0.003336115,0.03358609,0.03358609,0.003972565,0.00399554,0.006519473,0.006091126,0.000896806,0.000896808
11,0.000235317,0.000235317,0.003669153,0.003670327,0.004819246,0.004538579,0.003884699,0.003594759,0.036591571,0.037057004,0.004405158,0.004416033,0.007197351,0.006724845,0.000987994,0.000987994
22.125,0.000504775,0.000479769,0.004575011,0.004575011,0.00961227,0.009612271,0.006550544,0.006754251,0.073579111,0.075012119,0.009243004,0.00908217,0.014425467,0.014049198,0.002028531,0.002041827
33.25,0.000867997,0.000816232,0.005877411,0.005690896,0.013654621,0.015003364,0.010626515,0.010626516,0.110950022,0.111991098,0.013518993,0.013631004,0.022763408,0.02166522,0.002964013,0.002964448
44.375,0.00134072,0.001134924,0.007759068,0.007336587,0.019158806,0.020452211,0.015078236,0.014824768,0.147656341,0.148471167,0.017890616,0.018074272,0.031641655,0.029403397,0.003925917,0.003824415
55.5,0.001819292,0.001398097,0.009923539,0.009345088,0.02537012,0.025837584,0.01932234,0.018997734,0.184344328,0.184726037,0.022449828,0.022449827,0.040043833,0.037184854,0.004950182,0.004674992
66.625,0.002179968,0.001606243,0.012208498,0.011596999,0.031113558,0.031113555,0.023205085,0.022960857,0.22089407,0.220894075,0.026982586,0.026787092,0.047589542,0.044971252,0.00601665,0.005533913
77.75,0.00239267,0.001773178,0.014544197,0.014010084,0.035800837,0.036270498,0.026760845,0.026651173,0.257045524,0.257045519,0.031324593,0.03110646,0.054335002,0.05274384,0.007099674,0.006406122
88.875,0.00249713,0.001914203,0.016906341,0.016526121,0.039444225,0.041315221,0.030073106,0.030073101,0.292679873,0.29321573,0.035421795,0.035421795,0.060493902,0.060493902,0.008181153,0.007292251
100,0.002546248,0.002042082,0.019289091,0.019103612,0.042337821,0.046261179,0.033221773,0.033261428,0.327826058,0.329421567,0.03929618,0.039742507,0.06629002,0.06821805,0.009251265,0.008191512
110,0.002575982,0.00215375,0.021448427,0.021448427,0.044572762,0.050635376,0.035964578,0.035964582,0.359095707,0.362002259,0.042634677,0.043636188,0.071342087,0.075138534,0.010200232,0.009010057
221.25,0.004013376,0.004013376,0.046300546,0.046888332,0.076193605,0.09731278,0.066454735,0.062641885,0.710965448,0.726277458,0.079990995,0.088056395,0.133019485,0.151082725,0.020266703,0.018552202
332.5,0.007421753,0.007421754,0.070603575,0.070109252,0.13036251,0.144400637,0.100469142,0.09183721,1.089830428,1.091316066,0.12446646,0.134477229,0.209958618,0.226346419,0.030320477,0.028516181
443.75,0.01163493,0.011634927,0.092875545,0.09202943,0.193583262,0.193583286,0.137370967,0.125743558,1.480018003,1.45496302,0.172187294,0.182266641,0.293785591,0.301881159,0.040476889,0.038667218
555,0.015713247,0.015713249,0.113367358,0.113367359,0.254845178,0.244818476,0.175887996,0.16349515,1.866154259,1.816490321,0.219451127,0.23085516,0.378005588,0.378005591,0.050573234,0.048913868
666.25,0.019279519,0.019250924,0.132751611,0.134471572,0.310378931,0.297715274,0.215099262,0.203928353,2.242093757,2.175757726,0.264965725,0.279842777,0.459848384,0.454791198,0.060547198,0.059210789
777.5,0.022330287,0.022263188,0.151607169,0.155504842,0.360516488,0.351853827,0.254420664,0.246022456,2.606907692,2.532853004,0.308707778,0.328958057,0.538653748,0.532213811,0.070406576,0.069532025
888.75,0.024993005,0.024908323,0.17033194,0.176541559,0.406865589,0.406865546,0.293516288,0.288980195,2.961824883,2.887947216,0.351094257,0.378018379,0.614684138,0.610213201,0.080184455,0.079861334
1000,0.027403996,0.027342544,0.189172536,0.197613206,0.451029333,0.462448353,0.33221773,0.332217727,3.308706547,3.241234069,0.392603892,0.426901839,0.688508688,0.688718018,0.089916627,0.090187968
1100,0.029445757,0.029445756,0.206323976,0.216592507,0.489884806,0.512699126,0.366616762,0.370983664,3.615180021,3.557410228,0.429505457,0.470624333,0.753483914,0.759656296,0.09865057,0.099461943
2212.5,0.052847863,0.054814912,0.413524251,0.429029589,0.955865163,1.065432054,0.733110087,0.770342689,6.914232342,7.016698744,0.848978229,0.938358752,1.46402434,1.560886756,0.197288708,0.201500886
3325,0.082089662,0.084693403,0.632053835,0.639766125,1.482826645,1.589125715,1.098343786,1.126028131,10.23820268,10.4198146,1.290915345,1.376262841,2.220287378,2.363970694,0.298050815,0.30140645
