X1,y
44375,36.54539975
1100000,36.96668186
77750,36.73484114
88.875,5.46421614
555,19.14142635
1000,24.27833193
2.125,0.154689822
5055555.556,37.09652382
888750,36.96730695
7.75,0.545791378
110,0.08776745
66625,31.91468796
77750,36.06491287
443750,144.935586
555000,163.7835211
2.125,0.001539314
1000000,205.4455377
6662.5,4.68036223
7.75,0.006389906
55.5,0.043213881
10,6.990467724
2212.5,53.57726089
66625,75.3027249
55.5,20.38360339
443750,83.14016104
100,26.43718362
4437.5,58.09117557
2088888.889,85.41108718
2.125,1.680472007
3.25,2.542385298
888750,85.37437985
66625,76.86677242
4437.5,58.95563677
3077777.778,87.37879231
10,5.862209434
443.75,39.6335859
33250,72.58598497
7775,63.22046377
888.75,45.66722023
2.125,1.36397144
77750,47.43703848
10000,5.464791338
88.875,0.048178477
11,0.005412376
7775,4.24402641
44375,25.77784541
1000,0.537287745
2.125,0.001256483
666250,402.3803193
777500,421.2907554
555,49.25670646
33250,85.87218775
1100,56.76912951
44.375,13.54121442
11000,76.58570196
2.125,0.841587575
6662.5,72.26525682
7033333.333,106.8848272
8.875,3.393687033
8022222.222,107.0343908
8022222.222,483.0345492
221.25,9.849289836
332.5,11.11364155
443.75,11.89638626
555,12.43263596
666.25,12.82853333
777.5,13.13783962
22125,28.54889516
1100000,279.4730898
555000,189.2283419
4.375,2.993245677
4437.5,68.65875805
110,31.56843033
5055555.556,104.8917519
44375,85.64603162
1000000,99.55222042
44.375,19.83111388
100000,90.63085744
8022222.222,105.778657
11000,75.08920826
6.625,3.130202535
888.75,55.03230377
555,50.41504388
44375,81.20572771
55500,82.72656419
22125,76.27330201
332500,92.02522921
2212.5,61.71107023
66625,83.92404893
77750,84.89646513
10,5.631596313
110,30.8303967
66625,81.34048281
4.375,2.589607984
8022222.222,98.92607359
555,52.22262635
1100,56.9858611
33.25,14.58406
4066666.667,97.44470346
888750,93.18029634
55500,75.60048444
100000,79.00553447
5.5,1.373197322
2.125,0.510878927
6662.5,63.47674186
3.25,0.788128004
100,19.58708866
777500,88.69780771
7.75,1.965881311
55.5,12.13344796
4066666.667,145.1043191
8022222.222,147.5559733
55.5,6.400783386
88875,125.446403
33250,111.6667296
1100,40.83851311
666250,139.3642996
2088888.889,142.3881801
55500,119.7837665
2.125,0.29078563
888750,6.35E+01
10000,2.10E+01
