ABAVIJ_clean,,,,,,,,,
Random Seed_10,Random Seed_144,Random Seed_178,Random Seed_200,Random Seed_22,Random Seed_30,Random Seed_42,Random Seed_44,Random Seed_56,Random Seed_80
1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00
221.25,110000.00,10.00,66.63,55.50,8022222.22,555000.00,4.37,66.63,6044444.44
1100.00,7.75,443750.00,33.25,888.75,44.37,1000.00,221250.00,666.25,2088888.89
100000.00,2088888.89,443.75,3077777.78,5.50,7033333.33,10.00,44375.00,7033333.33,443750.00
110.00,22.13,1000000.00,4066666.67,221.25,22125.00,11000.00,88.88,66625.00,10000000.00
1.00,55.50,221250.00,44.37,44.37,3.25,11000.00,8.88,5550.00,77.75
44375.00,4437.50,5550.00,555.00,7775.00,5055555.56,22.13,888.75,22.13,10000.00
888.75,5550.00,33250.00,8887.50,1100000.00,5055555.56,7.75,55.50,3077777.78,3077777.78
33250.00,555.00,888.75,2088888.89,22.13,443750.00,443750.00,5550.00,8.88,6662.50
77.75,555000.00,22.13,1100000.00,3077777.78,110.00,221250.00,22.13,5055555.56,3.25
5550.00,2088888.89,11.00,88875.00,7.75,777.50,77750.00,443750.00,7775.00,7775.00
,,,,,,,,,
ABAYOU_clean,,,,,,,,,
Random Seed_10,Random Seed_144,Random Seed_178,Random Seed_200,Random Seed_22,Random Seed_30,Random Seed_42,Random Seed_44,Random Seed_56,Random Seed_80
1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00
7.75,1000000.00,2.12,1100.00,2.12,77.75,44375.00,1000.00,8887.50,221.25
6662.50,11.00,8022222.22,7.75,100.00,11.00,777.50,1000.00,110.00,7775.00
3325.00,1000000.00,7033333.33,2088888.89,5.50,4437.50,1100.00,1000000.00,10000000.00,6.62
110.00,1.00,22.13,4066666.67,66625.00,4437.50,22125.00,77.75,4.37,10000000.00
8022222.22,666.25,5.50,2.12,66625.00,44375.00,3.25,110000.00,4437.50,100000.00
443750.00,6662.50,4.37,2088888.89,100000.00,8022222.22,7.75,8.88,555.00,8.88
4437.50,666.25,44.37,332500.00,110.00,100.00,443750.00,6044444.44,77750.00,11000.00
55.50,1000000.00,6.62,33.25,1100.00,1100.00,11.00,77750.00,4437.50,1100000.00
44375.00,66625.00,443750.00,66.63,1100.00,1100.00,3077777.78,11.00,44375.00,4.37
777500.00,1000000.00,55.50,66.63,221250.00,77750.00,443750.00,1000000.00,66625.00,6044444.44
,,,,,,,,,
,,,,,,,,,
ABESUX_clean,,,,,,,,,
Random Seed_10,Random Seed_144,Random Seed_178,Random Seed_200,Random Seed_22,Random Seed_30,Random Seed_42,Random Seed_44,Random Seed_56,Random Seed_80
1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00,10000000.00
9011111.11,5550.00,8887.50,4066666.67,2.12,2212.50,4.37,7775.00,5.50,777500.00
443.75,8.88,666.25,3.25,11.00,4437.50,888750.00,11000.00,777.50,7.75
66625.00,5.50,22.13,221250.00,4.37,8887.50,1100.00,2.12,22.13,9011111.11
777.50,22.13,9011111.11,4.37,6.62,11.00,6.62,33.25,33250.00,3077777.78
22125.00,443750.00,3.25,22125.00,55.50,66625.00,110000.00,888.75,8022222.22,777500.00
4.37,443750.00,9011111.11,555000.00,10.00,777500.00,666.25,33250.00,33250.00,33250.00
66.63,100.00,5550.00,44.37,666.25,10000000.00,332.50,6662.50,3.25,666.25
11000.00,443750.00,5550.00,1000000.00,666.25,66625.00,6.62,777500.00,44.37,22125.00
100000.00,443750.00,22.13,332.50,110.00,8887.50,332.50,221250.00,5.50,22.13
7033333.33,2088888.89,33.25,55500.00,8887.50,100000.00,8022222.22,3325.00,6044444.44,1000.00
,,,,,,,,,
,,,,,,,,,
ABETAE_clean,,,,,,,,,
